Qty_Sold,Week_End_Date,Product_ID,Year,Month,Quarter,ISO_Week,Week_Number,Month_Start,Month_End,Lag_1,Lag_2,Lag_3,Lag_4,Lag_8,Lag_12,Rolling_Mean_4,Rolling_Mean_8,Rolling_Std_4,Rolling_Max_4,Rolling_Min_4,Discount_Flag,Returns_Rate,Inventory_Ratio,Promo_Flag,Holiday_Flag,Rainfall,Avg_Temperature,Season,Demand_Class
46,2023-04-29,TE001,2023,4,2,17,17,2023-04-01,2023-04-30 23:59:59.999999,56.0,45.0,57.0,55.0,75.0,69.0,53.25,54.125,5.56027577253743,57.0,45.0,1,0.06521739130434782,10.478260869565217,0,0,6.57,31.85,Summer,Smooth
50,2023-05-06,TE001,2023,5,2,18,18,2023-05-01,2023-05-31 23:59:59.999999,46.0,56.0,45.0,57.0,53.0,56.0,51.0,50.5,6.377042156569668,57.0,45.0,1,0.02,8.98,0,0,15.42,29.74,Summer,Smooth
42,2023-05-13,TE001,2023,5,2,19,19,2023-05-01,2023-05-31 23:59:59.999999,50.0,46.0,56.0,45.0,48.0,48.0,49.25,50.125,4.991659710623984,56.0,45.0,1,0.023809523809523808,10.880952380952381,0,0,20.56,29.51,Summer,Smooth
67,2023-05-20,TE001,2023,5,2,20,20,2023-05-01,2023-05-31 23:59:59.999999,42.0,50.0,46.0,56.0,44.0,58.0,48.5,49.375,5.972157622389643,56.0,42.0,1,0.029850746268656716,7.104477611940299,1,0,4.4,30.92,Summer,Smooth
41,2023-05-27,TE001,2023,5,2,21,21,2023-05-01,2023-05-31 23:59:59.999999,67.0,42.0,50.0,46.0,55.0,75.0,51.25,52.25,10.996211468804459,67.0,42.0,1,0.024390243902439025,11.658536585365853,0,0,5.18,26.86,Summer,Smooth
69,2023-06-03,TE001,2023,6,2,22,22,2023-06-01,2023-06-30 23:59:59.999999,41.0,67.0,42.0,50.0,57.0,53.0,50.0,50.5,12.027745701779146,67.0,41.0,1,0.057971014492753624,6.884057971014493,1,0,52.96,27.91,Monsoon,Smooth
85,2023-06-10,TE001,2023,6,2,23,23,2023-06-01,2023-06-30 23:59:59.999999,69.0,41.0,67.0,42.0,45.0,48.0,54.75,52.0,15.326991442115009,69.0,41.0,1,0.058823529411764705,5.458823529411765,0,0,142.85,23.34,Monsoon,Smooth
90,2023-06-17,TE001,2023,6,2,24,24,2023-06-01,2023-06-30 23:59:59.999999,85.0,69.0,41.0,67.0,56.0,44.0,65.5,57.0,18.211717839530316,85.0,41.0,1,0.03333333333333333,5.033333333333333,0,0,178.14,23.08,Monsoon,Smooth
61,2023-06-24,TE001,2023,6,2,25,25,2023-06-01,2023-06-30 23:59:59.999999,90.0,85.0,69.0,41.0,46.0,55.0,71.25,61.25,22.0661883130428,90.0,41.0,1,0.04918032786885246,7.163934426229508,0,0,107.33,24.74,Monsoon,Smooth
66,2023-07-01,TE001,2023,7,3,26,26,2023-07-01,2023-07-31 23:59:59.999999,61.0,90.0,85.0,69.0,50.0,57.0,76.25,63.125,13.549292724468438,90.0,61.0,1,0.015151515151515152,6.848484848484849,1,0,133.54,26.49,Monsoon,Smooth
66,2023-07-08,TE001,2023,7,3,27,27,2023-07-01,2023-07-31 23:59:59.999999,66.0,61.0,90.0,85.0,42.0,45.0,75.5,65.125,14.153915830374764,90.0,61.0,1,0.015151515151515152,6.606060606060606,0,0,151.5,24.28,Monsoon,Smooth
94,2023-07-15,TE001,2023,7,3,28,28,2023-07-01,2023-07-31 23:59:59.999999,66.0,66.0,61.0,90.0,67.0,56.0,70.75,68.125,13.047988350699887,90.0,61.0,0,0.07446808510638298,4.702127659574468,0,0,144.84,20.0,Monsoon,Smooth
98,2023-07-22,TE001,2023,7,3,29,29,2023-07-01,2023-07-31 23:59:59.999999,94.0,66.0,66.0,61.0,41.0,46.0,71.75,71.5,15.01943185787443,94.0,61.0,1,0.061224489795918366,4.428571428571429,0,0,163.92,28.49,Monsoon,Smooth
97,2023-07-29,TE001,2023,7,3,30,30,2023-07-01,2023-07-31 23:59:59.999999,98.0,94.0,66.0,66.0,69.0,50.0,81.0,78.625,17.397317800933187,98.0,66.0,1,0.07216494845360824,4.670103092783505,0,0,36.49,24.29,Monsoon,Smooth
61,2023-08-05,TE001,2023,8,3,31,31,2023-08-01,2023-08-31 23:59:59.999999,97.0,98.0,94.0,66.0,85.0,42.0,88.75,82.125,15.261607604268521,98.0,66.0,0,0.01639344262295082,7.114754098360656,0,0,145.21,23.33,Monsoon,Smooth
77,2023-08-12,TE001,2023,8,3,32,32,2023-08-01,2023-08-31 23:59:59.999999,61.0,97.0,98.0,94.0,90.0,67.0,87.5,79.125,17.74823934929885,98.0,61.0,1,0.05194805194805195,5.597402597402597,0,0,20.37,21.67,Monsoon,Smooth
61,2023-08-19,TE001,2023,8,3,33,33,2023-08-01,2023-08-31 23:59:59.999999,77.0,61.0,97.0,98.0,61.0,41.0,83.25,77.5,17.708284313657643,98.0,61.0,1,0.01639344262295082,6.836065573770492,0,0,133.09,28.82,Monsoon,Smooth
62,2023-08-26,TE001,2023,8,3,34,34,2023-08-01,2023-08-31 23:59:59.999999,61.0,77.0,61.0,97.0,66.0,69.0,74.0,77.5,17.08800749063506,97.0,61.0,1,0.03225806451612903,7.17741935483871,0,0,180.13,29.0,Monsoon,Smooth
51,2023-09-02,TE001,2023,9,3,35,35,2023-09-01,2023-09-30 23:59:59.999999,62.0,61.0,77.0,61.0,66.0,85.0,65.25,77.0,7.847504911329032,77.0,61.0,1,0.0392156862745098,8.294117647058824,0,0,36.38,24.76,Fall,Smooth
71,2023-09-09,TE001,2023,9,3,36,36,2023-09-01,2023-09-30 23:59:59.999999,51.0,62.0,61.0,77.0,94.0,90.0,62.75,75.125,10.719919153924,77.0,51.0,0,0.056338028169014086,6.098591549295775,0,0,6.71,21.77,Fall,Smooth
43,2023-09-16,TE001,2023,9,3,37,37,2023-09-01,2023-09-30 23:59:59.999999,71.0,51.0,62.0,61.0,98.0,61.0,61.25,72.25,8.180260794538682,71.0,51.0,1,0.046511627906976744,9.674418604651162,1,0,5.74,21.26,Fall,Smooth
71,2023-09-23,TE001,2023,9,3,38,38,2023-09-01,2023-09-30 23:59:59.999999,43.0,71.0,51.0,62.0,97.0,66.0,56.75,65.375,12.28481447424692,71.0,43.0,1,0.014084507042253521,5.887323943661972,0,0,1.01,21.49,Fall,Smooth
56,2023-09-30,TE001,2023,9,3,39,39,2023-09-01,2023-09-30 23:59:59.999999,71.0,43.0,71.0,51.0,61.0,66.0,59.0,62.125,14.236104336041747,71.0,43.0,1,0.03571428571428571,7.535714285714286,0,0,43.22,18.12,Fall,Smooth
71,2023-10-07,TE001,2023,10,4,40,40,2023-10-01,2023-10-31 23:59:59.999999,56.0,71.0,43.0,71.0,77.0,94.0,60.25,61.5,13.499999999999998,71.0,43.0,1,0.07042253521126761,5.661971830985915,0,0,35.44,20.39,Fall,Smooth
71,2023-10-14,TE001,2023,10,4,41,41,2023-10-01,2023-10-31 23:59:59.999999,71.0,56.0,71.0,43.0,61.0,98.0,60.25,60.75,13.499999999999998,71.0,43.0,0,0.028169014084507043,5.845070422535211,1,0,1.56,18.41,Fall,Smooth
51,2023-10-21,TE001,2023,10,4,42,42,2023-10-01,2023-10-31 23:59:59.999999,71.0,71.0,56.0,71.0,62.0,97.0,67.25,62.0,7.499999999999997,71.0,56.0,1,0.0196078431372549,8.549019607843137,1,0,12.19,20.58,Fall,Smooth
52,2023-10-28,TE001,2023,10,4,43,43,2023-10-01,2023-10-31 23:59:59.999999,51.0,71.0,71.0,56.0,51.0,61.0,62.25,60.625,10.30776406404415,71.0,51.0,0,0.019230769230769232,8.134615384615385,0,0,8.44,27.25,Fall,Smooth
48,2023-11-04,TE001,2023,11,4,44,44,2023-11-01,2023-11-30 23:59:59.999999,52.0,51.0,71.0,71.0,71.0,77.0,61.25,60.75,11.26572974408079,71.0,51.0,1,0.041666666666666664,8.979166666666666,0,0,10.33,25.62,Fall,Smooth
50,2023-11-11,TE001,2023,11,4,45,45,2023-11-01,2023-11-30 23:59:59.999999,48.0,52.0,51.0,71.0,43.0,61.0,55.5,57.875,10.472185381603337,71.0,48.0,1,0.02,8.14,1,0,7.5,19.85,Fall,Smooth
58,2023-11-18,TE001,2023,11,4,46,46,2023-11-01,2023-11-30 23:59:59.999999,50.0,48.0,52.0,51.0,71.0,62.0,50.25,58.75,1.707825127659924,52.0,48.0,1,0.06896551724137931,7.103448275862069,0,0,34.64,20.96,Fall,Smooth
75,2023-11-25,TE001,2023,11,4,47,47,2023-11-01,2023-11-30 23:59:59.999999,58.0,50.0,48.0,52.0,56.0,51.0,52.0,57.125,4.32049379893857,58.0,48.0,1,0.04,5.386666666666667,0,0,39.75,22.77,Fall,Smooth
62,2023-12-02,TE001,2023,12,4,48,48,2023-12-01,2023-12-31 23:59:59.999999,75.0,58.0,50.0,48.0,71.0,71.0,57.75,59.5,12.28481447424692,75.0,48.0,1,0.06451612903225806,6.870967741935484,0,0,33.63,18.33,Winter,Smooth
66,2023-12-09,TE001,2023,12,4,49,49,2023-12-01,2023-12-31 23:59:59.999999,62.0,75.0,58.0,50.0,71.0,43.0,61.25,58.375,10.436314802968845,75.0,50.0,0,0.030303030303030304,6.0,0,0,2.72,17.3,Winter,Smooth
52,2023-12-16,TE001,2023,12,4,50,50,2023-12-01,2023-12-31 23:59:59.999999,66.0,62.0,75.0,58.0,51.0,71.0,65.25,57.75,7.274384280931729,75.0,58.0,1,0.019230769230769232,7.6923076923076925,0,0,45.2,13.01,Winter,Smooth
57,2023-12-23,TE001,2023,12,4,51,51,2023-12-01,2023-12-31 23:59:59.999999,52.0,66.0,62.0,75.0,52.0,56.0,63.75,57.875,9.535023160258534,75.0,52.0,1,0.05263157894736842,6.754385964912281,1,0,32.24,13.35,Winter,Smooth
71,2023-12-30,TE001,2023,12,4,52,52,2023-12-01,2023-12-31 23:59:59.999999,57.0,52.0,66.0,62.0,48.0,71.0,59.25,58.5,6.075908711186059,66.0,52.0,1,0.014084507042253521,5.619718309859155,0,0,36.46,15.79,Winter,Smooth
74,2024-01-06,TE001,2024,1,1,1,0,2024-01-01,2024-01-31 23:59:59.999999,71.0,57.0,52.0,66.0,50.0,71.0,61.5,61.375,8.58292879305582,71.0,52.0,1,0.013513513513513514,5.108108108108108,0,0,18.88,11.15,Winter,Smooth
75,2024-01-13,TE001,2024,1,1,2,1,2024-01-01,2024-01-31 23:59:59.999999,74.0,71.0,57.0,52.0,58.0,51.0,63.5,64.375,10.661457061146315,74.0,52.0,1,0.04,5.36,0,0,25.47,16.36,Winter,Smooth
54,2024-01-20,TE001,2024,1,1,3,2,2024-01-01,2024-01-31 23:59:59.999999,75.0,74.0,71.0,57.0,75.0,52.0,69.25,66.5,8.341662504161464,75.0,57.0,1,0.037037037037037035,6.907407407407407,1,0,43.35,12.94,Winter,Smooth
54,2024-01-27,TE001,2024,1,1,4,3,2024-01-01,2024-01-31 23:59:59.999999,54.0,75.0,74.0,71.0,62.0,48.0,68.5,63.875,9.814954576223636,75.0,54.0,1,0.05555555555555555,7.314814814814815,0,0,31.67,12.17,Winter,Smooth
71,2024-02-03,TE001,2024,2,1,5,4,2024-02-01,2024-02-29 23:59:59.999999,54.0,54.0,75.0,74.0,66.0,50.0,64.25,62.875,11.84271928232701,75.0,54.0,1,0.028169014084507043,5.211267605633803,1,0,30.65,25.43,Fall,Smooth
57,2024-02-10,TE001,2024,2,1,6,5,2024-02-01,2024-02-29 23:59:59.999999,71.0,54.0,54.0,75.0,52.0,58.0,63.5,63.5,11.090536506409416,75.0,54.0,1,0.05263157894736842,6.7894736842105265,1,0,17.64,19.06,Fall,Smooth
69,2024-02-17,TE001,2024,2,1,7,6,2024-02-01,2024-02-29 23:59:59.999999,57.0,71.0,54.0,54.0,57.0,75.0,59.0,64.125,8.124038404635957,71.0,54.0,1,0.043478260869565216,5.782608695652174,0,0,37.3,22.74,Fall,Smooth
53,2024-02-24,TE001,2024,2,1,8,7,2024-02-01,2024-02-29 23:59:59.999999,69.0,57.0,71.0,54.0,71.0,62.0,62.75,65.625,8.499999999999998,71.0,54.0,1,0.05660377358490566,7.3584905660377355,0,0,17.49,21.27,Fall,Smooth
45,2024-03-02,TE001,2024,3,1,9,8,2024-03-01,2024-03-31 23:59:59.999999,53.0,69.0,57.0,71.0,74.0,66.0,62.5,63.375,8.850612031567834,71.0,53.0,1,0.044444444444444446,8.28888888888889,1,0,43.8,32.17,Summer,Smooth
59,2024-03-09,TE001,2024,3,1,10,9,2024-03-01,2024-03-31 23:59:59.999999,45.0,53.0,69.0,57.0,75.0,52.0,56.0,59.75,9.999999999999998,69.0,45.0,1,0.05084745762711865,6.1525423728813555,0,0,16.85,29.95,Summer,Smooth
44,2024-03-16,TE001,2024,3,1,11,10,2024-03-01,2024-03-31 23:59:59.999999,59.0,45.0,53.0,69.0,54.0,57.0,56.5,57.75,10.115993936995677,69.0,45.0,1,0.022727272727272728,9.0,0,0,35.38,30.25,Summer,Smooth
68,2024-03-23,TE001,2024,3,1,12,11,2024-03-01,2024-03-31 23:59:59.999999,44.0,59.0,45.0,53.0,54.0,71.0,50.25,56.5,7.088723439378911,59.0,44.0,0,0.058823529411764705,5.764705882352941,0,0,28.84,32.69,Summer,Smooth
49,2024-03-30,TE001,2024,3,1,13,12,2024-03-01,2024-03-31 23:59:59.999999,68.0,44.0,59.0,45.0,71.0,74.0,54.0,58.25,11.575836902790224,68.0,44.0,1,0.04081632653061224,7.448979591836735,1,0,7.49,25.79,Summer,Smooth
54,2024-04-06,TE001,2024,4,2,14,13,2024-04-01,2024-04-30 23:59:59.999999,49.0,68.0,44.0,59.0,57.0,75.0,55.0,55.5,10.67707825203131,68.0,44.0,1,0.05555555555555555,6.7592592592592595,0,0,49.01,29.04,Summer,Smooth
74,2024-04-13,TE001,2024,4,2,15,14,2024-04-01,2024-04-30 23:59:59.999999,54.0,49.0,68.0,44.0,69.0,54.0,53.75,55.125,10.340051579497397,68.0,44.0,1,0.06756756756756757,4.837837837837838,0,0,44.23,32.64,Summer,Smooth
46,2024-04-20,TE001,2024,4,2,16,15,2024-04-01,2024-04-30 23:59:59.999999,74.0,54.0,49.0,68.0,53.0,54.0,61.25,55.75,11.701139545645399,74.0,49.0,1,0.06521739130434782,7.760869565217392,0,0,19.41,27.92,Summer,Smooth
49,2024-04-27,TE001,2024,4,2,17,16,2024-04-01,2024-04-30 23:59:59.999999,46.0,74.0,54.0,49.0,45.0,71.0,55.75,54.875,12.606215398233786,74.0,46.0,1,0.04081632653061224,7.714285714285714,1,0,17.33,26.21,Summer,Smooth
74,2024-05-04,TE001,2024,5,2,18,17,2024-05-01,2024-05-31 23:59:59.999999,49.0,46.0,74.0,54.0,59.0,57.0,55.75,55.375,12.606215398233786,74.0,46.0,1,0.06756756756756757,4.783783783783784,0,0,18.25,27.95,Summer,Smooth
50,2024-05-11,TE001,2024,5,2,19,18,2024-05-01,2024-05-31 23:59:59.999999,74.0,49.0,46.0,74.0,44.0,69.0,60.75,57.25,15.348724159790391,74.0,46.0,1,0.06,7.04,0,0,28.7,30.92,Summer,Smooth
60,2024-05-18,TE001,2024,5,2,20,19,2024-05-01,2024-05-31 23:59:59.999999,50.0,74.0,49.0,46.0,68.0,53.0,54.75,58.0,12.945398152754255,74.0,46.0,1,0.03333333333333333,5.716666666666667,0,0,6.33,27.62,Summer,Smooth
45,2024-05-25,TE001,2024,5,2,21,20,2024-05-01,2024-05-31 23:59:59.999999,60.0,50.0,74.0,49.0,49.0,45.0,58.25,57.0,11.615363389350614,74.0,49.0,1,0.044444444444444446,7.488888888888889,0,0,46.88,32.36,Summer,Smooth
67,2024-06-01,TE001,2024,6,2,22,21,2024-06-01,2024-06-30 23:59:59.999999,45.0,60.0,50.0,74.0,54.0,59.0,57.25,56.5,12.78997002863311,74.0,45.0,1,0.05970149253731343,5.507462686567164,0,0,169.8,22.17,Monsoon,Smooth
85,2024-06-08,TE001,2024,6,2,23,22,2024-06-01,2024-06-30 23:59:59.999999,67.0,45.0,60.0,50.0,74.0,44.0,55.5,58.125,9.882644720249058,67.0,45.0,1,0.03529411764705882,4.258823529411765,0,0,80.85,21.35,Monsoon,Smooth
66,2024-06-15,TE001,2024,6,2,24,23,2024-06-01,2024-06-30 23:59:59.999999,85.0,67.0,45.0,60.0,46.0,68.0,64.25,59.5,16.600702796367784,85.0,45.0,1,0.030303030303030304,5.5606060606060606,0,0,123.46,22.47,Monsoon,Smooth
78,2024-06-22,TE001,2024,6,2,25,24,2024-06-01,2024-06-30 23:59:59.999999,66.0,85.0,67.0,45.0,49.0,49.0,65.75,62.0,16.35797460975329,85.0,45.0,0,0.0641025641025641,4.615384615384615,0,0,186.1,25.98,Monsoon,Smooth
68,2024-06-29,TE001,2024,6,2,26,25,2024-06-01,2024-06-30 23:59:59.999999,78.0,66.0,85.0,67.0,74.0,54.0,74.0,65.625,9.12870929175276,85.0,66.0,1,0.04411764705882353,5.0588235294117645,0,0,35.44,25.89,Monsoon,Smooth
57,2024-07-06,TE001,2024,7,3,27,26,2024-07-01,2024-07-31 23:59:59.999999,68.0,78.0,66.0,85.0,50.0,74.0,74.25,64.875,8.88350531415761,85.0,66.0,0,0.017543859649122806,6.035087719298246,1,0,160.33,28.9,Monsoon,Smooth
96,2024-07-13,TE001,2024,7,3,28,27,2024-07-01,2024-07-31 23:59:59.999999,57.0,68.0,78.0,66.0,60.0,46.0,67.25,65.75,8.616843969807034,78.0,57.0,1,0.07291666666666667,3.3645833333333335,0,0,181.63,21.04,Monsoon,Smooth
71,2024-07-20,TE001,2024,7,3,29,28,2024-07-01,2024-07-31 23:59:59.999999,96.0,57.0,68.0,78.0,45.0,49.0,74.75,70.25,16.56049516167919,96.0,57.0,1,0.07042253521126761,4.929577464788732,0,0,92.55,20.01,Monsoon,Smooth
92,2024-07-27,TE001,2024,7,3,30,29,2024-07-01,2024-07-31 23:59:59.999999,71.0,96.0,57.0,68.0,67.0,74.0,73.0,73.5,16.472198800807778,96.0,57.0,0,0.010869565217391304,3.6847826086956523,0,0,66.33,27.59,Monsoon,Smooth
61,2024-08-03,TE001,2024,8,3,31,30,2024-08-01,2024-08-31 23:59:59.999999,92.0,71.0,96.0,57.0,85.0,50.0,79.0,76.625,18.312108926427157,96.0,57.0,1,0.06557377049180328,5.655737704918033,0,0,160.46,25.86,Monsoon,Smooth
86,2024-08-10,TE001,2024,8,3,32,31,2024-08-01,2024-08-31 23:59:59.999999,61.0,92.0,71.0,96.0,66.0,60.0,80.0,73.625,16.753109164172077,96.0,61.0,1,0.05813953488372093,3.883720930232558,0,0,10.41,26.3,Monsoon,Smooth
70,2024-08-17,TE001,2024,8,3,33,32,2024-08-01,2024-08-31 23:59:59.999999,86.0,61.0,92.0,71.0,78.0,45.0,77.5,76.125,14.106735979665878,92.0,61.0,0,0.014285714285714285,4.871428571428571,0,0,162.56,29.44,Monsoon,Smooth
63,2024-08-24,TE001,2024,8,3,34,33,2024-08-01,2024-08-31 23:59:59.999999,70.0,86.0,61.0,92.0,68.0,67.0,77.25,75.125,14.268263150549654,92.0,61.0,1,0.031746031746031744,5.412698412698413,0,0,191.91,23.37,Monsoon,Smooth
81,2024-08-31,TE001,2024,8,3,35,34,2024-08-01,2024-08-31 23:59:59.999999,63.0,70.0,86.0,61.0,57.0,85.0,70.0,74.5,11.343133018115694,86.0,61.0,1,0.024691358024691357,4.271604938271605,1,0,153.8,22.09,Monsoon,Smooth
50,2024-09-07,TE001,2024,9,3,36,35,2024-09-01,2024-09-30 23:59:59.999999,81.0,63.0,70.0,86.0,96.0,66.0,75.0,77.5,10.424330514074581,86.0,63.0,1,0.06,6.3,0,0,7.72,23.11,Fall,Smooth
60,2024-09-14,TE001,2024,9,3,37,36,2024-09-01,2024-09-30 23:59:59.999999,50.0,81.0,63.0,70.0,71.0,78.0,66.0,71.75,12.987173159185428,81.0,50.0,1,0.03333333333333333,5.1,1,0,4.05,19.27,Fall,Smooth
48,2024-09-21,TE001,2024,9,3,38,37,2024-09-01,2024-09-30 23:59:59.999999,60.0,50.0,81.0,63.0,92.0,68.0,63.5,70.375,12.922847983320075,81.0,50.0,1,0.020833333333333332,6.791666666666667,0,0,12.86,19.67,Fall,Smooth
59,2024-09-28,TE001,2024,9,3,39,38,2024-09-01,2024-09-30 23:59:59.999999,48.0,60.0,50.0,81.0,61.0,57.0,59.75,64.875,15.107944929738121,81.0,48.0,1,0.05084745762711865,5.661016949152542,0,0,6.88,22.67,Fall,Smooth
63,2024-10-05,TE001,2024,10,4,40,39,2024-10-01,2024-10-31 23:59:59.999999,59.0,48.0,60.0,50.0,86.0,96.0,54.25,64.625,6.130524719249821,60.0,48.0,0,0.015873015873015872,5.174603174603175,0,0,47.13,21.73,Fall,Smooth
72,2024-10-12,TE001,2024,10,4,41,40,2024-10-01,2024-10-31 23:59:59.999999,63.0,59.0,48.0,60.0,70.0,71.0,57.5,61.75,6.5574385243019835,63.0,48.0,1,0.027777777777777776,4.111111111111111,0,0,12.49,26.9,Fall,Smooth
54,2024-10-19,TE001,2024,10,4,42,41,2024-10-01,2024-10-31 23:59:59.999999,72.0,63.0,59.0,48.0,63.0,92.0,60.5,62.0,9.949874371066189,72.0,48.0,1,0.037037037037037035,5.62962962962963,0,0,4.09,23.85,Fall,Smooth
46,2024-10-26,TE001,2024,10,4,43,42,2024-10-01,2024-10-31 23:59:59.999999,54.0,72.0,63.0,59.0,81.0,61.0,62.0,60.875,7.615773105863893,72.0,54.0,1,0.043478260869565216,6.760869565217392,0,0,9.99,22.64,Fall,Smooth
53,2024-11-02,TE001,2024,11,4,44,43,2024-11-01,2024-11-30 23:59:59.999999,46.0,54.0,72.0,63.0,50.0,86.0,58.75,56.5,11.236102527122107,72.0,46.0,0,0.018867924528301886,6.113207547169812,1,0,19.71,27.7,Fall,Smooth
47,2024-11-09,TE001,2024,11,4,45,44,2024-11-01,2024-11-30 23:59:59.999999,53.0,46.0,54.0,72.0,60.0,70.0,56.25,56.875,11.086778913041716,72.0,46.0,1,0.02127659574468085,6.9787234042553195,0,0,17.31,26.04,Fall,Smooth
67,2024-11-16,TE001,2024,11,4,46,45,2024-11-01,2024-11-30 23:59:59.999999,47.0,53.0,46.0,54.0,48.0,63.0,50.0,55.25,4.082482904638603,54.0,46.0,1,0.04477611940298507,4.641791044776119,0,0,7.56,23.43,Fall,Smooth
73,2024-11-23,TE001,2024,11,4,47,46,2024-11-01,2024-11-30 23:59:59.999999,67.0,47.0,53.0,46.0,59.0,81.0,53.25,57.625,9.673847907287621,67.0,46.0,1,0.0547945205479452,4.178082191780822,0,0,49.76,23.15,Fall,Smooth
51,2024-11-30,TE001,2024,11,4,48,47,2024-11-01,2024-11-30 23:59:59.999999,73.0,67.0,47.0,53.0,63.0,50.0,60.0,59.375,12.055427546683408,73.0,47.0,1,0.0196078431372549,5.784313725490196,1,0,34.85,19.46,Fall,Smooth
67,2024-12-07,TE001,2024,12,4,49,48,2024-12-01,2024-12-31 23:59:59.999999,51.0,73.0,67.0,47.0,72.0,60.0,59.5,57.875,12.476644848141927,73.0,47.0,1,0.014925373134328358,4.253731343283582,0,0,16.23,15.57,Winter,Smooth
